,ID,N_VICTIMAS,FECHA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,VICTIMA,ACUSADO
365,2018-0091,1,2018-08-19,18,AU Perito Moreno KM 1.8 ALTURA BARRAGAN SENTIDO PBA,AUTOPISTA,9,-58.52280139,-34.63659934,AUTO,AUTO
366,2018-0092,1,2018-08-20,8,Cordoba Av. y Gascon,AVENIDA,14,-58.4233693,-34.59774487,MOTO,AUTO
367,2018-0093,1,2018-08-20,8,15 De Noviembre De 1889 1513,CALLE,1,-58.38691681,-34.63105973,PEATON,PASAJEROS
368,2018-0094,1,2018-08-23,5,"Salguero, Jeronimo y Beruti",CALLE,14,-58.4116902,-34.5857988,MOTO,PASAJEROS
369,2018-0095,1,2018-08-26,0,"Lacarra Av. y Dellepiane, Luis, Tte. Gral.",AVENIDA,9,-58.46739825,-34.65117757,AUTO,AUTO
370,2018-0096,1,2018-08-31,22,"AU Héctor J. Cámpora y Roca, Cnel. Av.",AUTOPISTA,8,-58.44483258,-34.67152226,PEATON,AUTO
371,2018-0097,1,2018-09-02,10,Av. Varela y Av. Int. Francisco Rabanal,AVENIDA,8,-58.43254025,-34.66128115,AUTO,OTRO
372,2018-0098,2,2018-09-09,5,Av. Gral. Paz e/ Ferre y Beron de Astrada,GRAL PAZ,8,-58.47199387,-34.69640164,AUTO,AUTO
373,2018-0099,1,2018-09-12,14,Rivadavia Av. y Pedernera,AVENIDA,7,-58.46411215,-34.62925068,PEATON,PASAJEROS
374,2018-0100,1,2018-09-20,10,Elvira Rawson de Dellepiane 150,AVENIDA,1,-58.36217754,-34.62367156,MOTO,AUTO
375,2018-0101,1,2018-09-21,0,"Paz, Gral. Av. y Zapiola",GRAL PAZ,12,-58.48098594,-34.5407313,AUTO,MULTIPLE
376,2018-0102,1,2018-09-21,0,FAMATINA Y DIOGENES TABORDA,CALLE,4,-58.41083404,-34.64640709,MOTO,AUTO
377,2018-0103,1,2018-09-27,17,Av. Castañares y Bonorino,AVENIDA,7,-58.44609828,-34.64446729,PEATON,MOTO
378,2018-0104,1,2018-10-01,8,AU Frondizi 9 de Julio Sur y Av. Suarez,AUTOPISTA,4,-58.37709334,-34.64035082,MOTO,MOTO
379,2018-0105,1,2018-10-03,18,Nazca Av. y Rivadavia Av.,AVENIDA,7,-58.46963952,-34.63070603,PEATON,PASAJEROS
380,2018-0106,1,2018-10-04,22,"Figueroa Alcorta, Pres. Av. y Echeverria",AVENIDA,13,-58.43674281,-34.55161027,MOTO,MOTO
381,2018-0107,1,2018-10-06,14,Rivadavia Av. y Jujuy Av.,AVENIDA,3,-58.4059686,-34.61011987,PEATON,PASAJEROS
382,2018-0108,1,2018-10-09,14,"De Los Italianos Av. y Guemes, Macacha",AVENIDA,1,-58.36154069,-34.60463618,MOTO,AUTO
383,2018-0109,1,2018-10-10,22,"Tucuman y Alem, Leandro N. Av.",AVENIDA,1,-58.37062179,-34.60066507,PEATON,PASAJEROS
384,2018-0110,1,2018-10-13,3,"Corrientes Av. y Gallardo, Angel Av.",AVENIDA,15,-58.43220014,-34.60207186,PEATON,MOTO
385,2018-0111,1,2018-10-19,12,AU Perito Moreno y Av. Eva Perón SENTIDO CENTRO,AUTOPISTA,9,-58.46958442,-34.64949724,MOTO,CARGAS
386,2018-0112,1,2018-10-24,9,Muñecas y Serrano,CALLE,15,-58.44671397,-34.59970903,MOTO,CARGAS
387,2018-0113,1,2018-10-25,11,"Artigas, Jose Gervasio, Gral. y Tres Arroyos",CALLE,11,-58.47152163,-34.61474911,MOTO,CARGAS
