,ID hecho,FECHA ,SEXO,EDAD_VICTIMA
1088,LC-2019-0081965,2019-02-07,Mujer,23
1089,LC-2019-0082058,2019-02-07,Varon,26
1090,LC-2019-0082107,2019-02-07,Varon,22
1091,LC-2019-0083042,2019-02-07,Varon,43
1092,LC-2019-0085264,2019-02-07,Mujer,67
1093,LC-2019-0080248,2019-02-08,Varon,35
1094,LC-2019-0082170,2019-02-08,Mujer,39
1095,LC-2019-0105322,2019-02-18,Varon,30
1096,LC-2019-0082223,2019-02-08,Varon,28
1097,LC-2019-0082601,2019-02-08,Mujer,35
1098,LC-2019-0082814,2019-02-08,Mujer,34
1099,LC-2019-0082814,2019-02-08,Varon,34
1100,LC-2019-0082814,2019-02-08,Mujer,34
1101,LC-2019-0082888,2019-02-08,Varon,35
1102,LC-2019-0082976,2019-02-08,Varon,25
1103,LC-2019-0083078,2019-02-08,Varon,48
1104,LC-2019-0083180,2019-02-08,Varon,28
1105,LC-2019-0083427,2019-02-08,Mujer,48
1106,LC-2019-0083429,2019-02-08,Varon,51
1107,LC-2019-0083523,2019-02-08,Mujer,35
1108,LC-2019-0083523,2019-02-08,Mujer,35
1109,LC-2019-0083523,2019-02-08,Varon,35
1110,LC-2019-0083523,2019-02-08,Mujer,35
1111,LC-2019-0083523,2019-02-08,Mujer,35
1112,LC-2019-0083523,2019-02-08,Mujer,35
1113,LC-2019-0083598,2019-02-08,Varon,25
1114,LC-2019-0083614,2019-02-08,Mujer,37
1115,LC-2019-0083637,2019-02-08,Varon,31
1116,LC-2019-0083661,2019-02-08,Varon,35
1117,LC-2019-0083793,2019-02-08,Varon,35
1118,LC-2019-0084191,2019-02-08,Varon,30
1119,LC-2019-0084325,2019-02-08,SD,35
1120,LC-2019-0084480,2019-02-08,Varon,35
1121,LC-2019-0084579,2019-02-08,Mujer,35
1122,LC-2019-0084581,2019-02-08,Mujer,35
1123,LC-2019-0084581,2019-02-08,Mujer,35
1124,LC-2019-0084581,2019-02-08,Mujer,35
1125,LC-2019-0084581,2019-02-08,Mujer,39
1126,LC-2019-0084601,2019-02-08,Mujer,24
