,ID,Cantidad de victimas,Fecha,HH,Tipo De Calle,Comuna,Long,Lat,Vehiculo Acusado,ROL,Vehiculo Victima,Sexo,Edad
63,2016-0086,1,2016-06-30,16,AVENIDA,10,-58.48727942,-34.63652467,PASAJEROS,PEATON,PEATON,MASCULINO,75
64,2016-0087,1,2016-07-02,0,AUTOPISTA,1,-58.37864583,-34.62907067,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,23
65,2016-0088,1,2016-07-11,15,CALLE,12,-58.5015175,-34.56767549,AUTO,PEATON,PEATON,FEMENINO,70
66,2016-0089,1,2016-07-14,6,AUTOPISTA,13,-58.43233425,-34.55185825,AUTO,PEATON,PEATON,MASCULINO,35
67,2016-0090,1,2016-07-14,22,AVENIDA,5,-58.41971993,-34.6111224,PASAJEROS,PEATON,PEATON,MASCULINO,60
68,2016-0092,1,2016-07-15,11,GRAL PAZ,13,-58.46743471,-34.53476874,CARGAS,CONDUCTOR,MOTO,MASCULINO,24
69,2016-0093,1,2016-07-17,3,AVENIDA,6,-58.44362126,-34.62301748,AUTO,CONDUCTOR,AUTO,MASCULINO,35
70,2016-0095,1,2016-07-23,6,AVENIDA,11,-58.51713095,-34.59546519,AUTO,CONDUCTOR,MOTO,MASCULINO,29
71,2016-0096,1,2016-07-25,7,AUTOPISTA,8,-58.47433193007387,-34.66684950051973,CARGAS,CONDUCTOR,MOTO,MASCULINO,0
72,2016-0097,1,2016-07-26,18,CALLE,1,-58.39038605,-34.6156281,AUTO,PEATON,PEATON,MASCULINO,80
73,2016-0098,1,2016-07-27,16,AVENIDA,3,-58.40042405,-34.62356174,CARGAS,CONDUCTOR,MOTO,FEMENINO,43
74,2016-0099,1,2016-07-29,16,GRAL PAZ,11,-58.52340614,-34.59798754,CARGAS,CONDUCTOR,CARGAS,MASCULINO,45
75,2016-0100,1,2016-08-03,23,GRAL PAZ,12,-58.49491054,-34.54795581,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,57
76,2016-0101,1,2016-08-07,19,GRAL PAZ,9,-58.52932872,-34.65014993,SD,SD,SD,MASCULINO,67
77,2016-0102,1,2016-08-10,23,AVENIDA,9,-58.50011639,-34.67316502,CARGAS,CONDUCTOR,MOTO,MASCULINO,29
78,2016-0104,1,2016-08-14,21,AVENIDA,9,-58.46635001,-34.65624369,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,21
79,2016-0105,1,2016-08-17,0,AVENIDA,15,-58.45343236,-34.58435809,PASAJEROS,PEATON,PEATON,MASCULINO,19
80,2016-0106,1,2016-08-19,21,AVENIDA,1,-58.38090932,-34.58927731,PASAJEROS,PEATON,PEATON,MASCULINO,38
81,2016-0107,1,2016-08-20,8,AUTOPISTA,4,-58.37157668,-34.65429986,AUTO,CONDUCTOR,MOTO,MASCULINO,21
82,2016-0109,1,2016-08-24,5,AUTOPISTA,9,-58.52280139,-34.63659934,OBJETO FIJO,CONDUCTOR,AUTO,FEMENINO,53
83,2016-0110,1,2016-08-24,20,AVENIDA,9,-58.51232237,-34.6590353,SD,PEATON,PEATON,MASCULINO,57
84,2016-0111,1,2016-08-25,9,AUTOPISTA,15,-58.47461905,-34.57663634,CARGAS,CONDUCTOR,MOTO,MASCULINO,27
85,2016-0112,1,2016-08-27,4,AUTOPISTA,1,-58.38268809,-34.62282019,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,24
86,2016-0113,1,2016-08-27,16,AVENIDA,9,-58.49603546,-34.64564271,PASAJEROS,PEATON,PEATON,FEMENINO,60
87,2016-0114,1,2016-08-31,11,CALLE,14,-58.41848605,-34.59394733,CARGAS,CICLISTA,BICICLETA,FEMENINO,55
88,2016-0115,1,2016-09-02,11,CALLE,12,-58.48935041,-34.54917673,CARGAS,SD,SD,MASCULINO,0
89,2016-0116,1,2016-09-02,20,AVENIDA,8,-58.44451316,-34.68475866,AUTO,CONDUCTOR,MOTO,MASCULINO,30
90,2016-0117,1,2016-09-03,15,AVENIDA,14,-58.39936478,-34.58271474,AUTO,CONDUCTOR,AUTO,MASCULINO,43
91,2016-0118,1,2016-09-04,3,AUTOPISTA,1,-58.37936704,-34.62694503,AUTO,CONDUCTOR,AUTO,MASCULINO,27
92,2016-0119,1,2016-09-04,6,AVENIDA,12,-58.49659234,-34.56353635,SD,PASAJERO_ACOMPAÑANTE,SD,FEMENINO,0
93,2016-0122,1,2016-09-13,7,AVENIDA,9,-58.47256391,-34.65194557,PASAJEROS,CICLISTA,BICICLETA,MASCULINO,49
94,2016-0123,1,2016-09-14,9,AVENIDA,7,-58.45130953,-34.64053676,AUTO,CONDUCTOR,MOTO,FEMENINO,58
95,2016-0124,1,2016-09-16,15,AVENIDA,7,-58.46271207,-34.62884871,PASAJEROS,PEATON,PEATON,MASCULINO,67
96,2016-0125,1,2016-09-17,12,AUTOPISTA,10,-58.49020869,-34.64243791,MOTO,CONDUCTOR,MOTO,MASCULINO,30
97,2016-0126,2,2016-09-18,22,CALLE,10,-58.52572109,-34.62125906,CARGAS,CONDUCTOR,AUTO,MASCULINO,37
98,2016-0126,2,2016-09-18,22,CALLE,10,-58.52572109,-34.62125906,CARGAS,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,60
99,2016-0127,1,2016-09-24,10,AVENIDA,8,-58.44094791,-34.66677111,PASAJEROS,PEATON,PEATON,MASCULINO,50
100,2016-0128,1,2016-10-02,11,AVENIDA,5,-58.41914024,-34.6305389,PASAJEROS,PEATON,PEATON,FEMENINO,81
101,2016-0130,1,2016-10-04,12,AUTOPISTA,1,-58.37910942,-34.62764717,CARGAS,CONDUCTOR,MOTO,MASCULINO,29
102,2016-0131,1,2016-10-09,19,CALLE,4,-58.39871183,-34.64539318,AUTO,PEATON,PEATON,MASCULINO,35
103,2016-0132,1,2016-10-10,2,AVENIDA,3,-58.41036975,-34.62477021,PASAJEROS,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30
104,2016-0133,1,2016-10-14,0,AVENIDA,14,-58.40204698,-34.5834269,AUTO,CONDUCTOR,MOTO,MASCULINO,41
105,2016-0134,1,2016-10-23,5,AVENIDA,8,-58.48935287,-34.67648597,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,25
106,2016-0135,1,2016-10-24,5,AVENIDA,14,-58.42260225,-34.56403694,SD,PEATON,PEATON,MASCULINO,29
107,2016-0137,1,2016-10-25,0,AVENIDA,11,-58.51537091,-34.59035925,MOTO,CONDUCTOR,MOTO,MASCULINO,30
108,2016-0138,1,2016-10-27,20,AVENIDA,13,-58.4590967,-34.55922742,CARGAS,CICLISTA,BICICLETA,FEMENINO,33
109,2016-0139,1,2016-10-28,23,AVENIDA,14,-58.42008769,-34.56539579,MOTO,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,35
110,2016-0140,1,2016-10-31,2,AVENIDA,13,-58.45566399,-34.56147293,PASAJEROS,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,20
111,2016-0142,1,2016-11-05,23,AVENIDA,1,-58.37533517,-34.59276462,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,46
112,2016-0143,1,2016-11-06,4,AVENIDA,8,-58.44451316,-34.68475866,SD,CONDUCTOR,MOTO,MASCULINO,35
113,2016-0144,1,2016-11-07,12,AVENIDA,4,-58.35975012,-34.63343907,PASAJEROS,PEATON,PEATON,MASCULINO,83
114,2016-0145,1,2016-11-07,20,AVENIDA,13,-58.44523595,-34.55953855,AUTO,CONDUCTOR,MOTO,MASCULINO,39
115,2016-0146,1,2016-11-09,20,AVENIDA,4,-58.39626094,-34.63036565,PASAJEROS,PEATON,PEATON,FEMENINO,29
116,2016-0147,1,2016-11-16,21,AVENIDA,1,-58.38896772,-34.61799615,PASAJEROS,PASAJERO_ACOMPAÑANTE,MOVIL,MASCULINO,55
117,2016-0148,1,2016-11-16,22,AVENIDA,15,-58.46536113,-34.59484504,MOTO,CONDUCTOR,MOTO,MASCULINO,0
118,2016-0150,1,2016-11-18,18,AVENIDA,4,-58.40879146,-34.65273216,CARGAS,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,41
119,2016-0152,1,2016-11-23,21,AVENIDA,7,-58.46451841,-34.64991946,AUTO,CONDUCTOR,MOTO,MASCULINO,42
120,2016-0153,1,2016-11-25,15,AVENIDA,15,-58.4291709,-34.59485488,MOTO,PEATON,PEATON,FEMENINO,83
121,2016-0154,1,2016-11-26,14,GRAL PAZ,8,-58.49007772,-34.68251141,MOTO,CONDUCTOR,MOTO,MASCULINO,38
122,2016-0155,1,2016-11-26,16,CALLE,10,-58.52756365,-34.62772274,AUTO,PEATON,PEATON,FEMENINO,29
123,2016-0156,1,2016-11-26,19,AVENIDA,3,-58.40638983,-34.61943202,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,23
124,2016-0157,1,2016-12-03,6,AVENIDA,11,-58.47576807,-34.61740997,MOTO,CONDUCTOR,MOTO,MASCULINO,23
125,2016-0159,1,2016-12-04,7,AVENIDA,8,-58.44451316,-34.68475866,SD,CONDUCTOR,AUTO,MASCULINO,23
126,2016-0160,1,2016-12-06,5,AUTOPISTA,9,-58.51927194,-34.63635787,OBJETO FIJO,CONDUCTOR,CARGAS,MASCULINO,29
127,2016-0161,1,2016-12-06,7,AVENIDA,14,-58.42525456,-34.57866344,PASAJEROS,PEATON,PEATON,MASCULINO,50
128,2016-0162,1,2016-12-07,5,AVENIDA,15,-58.45396573,-34.58518167,AUTO,PEATON,PEATON,MASCULINO,38
129,2016-0163,1,2016-12-10,7,GRAL PAZ,11,-58.52340614,-34.59798754,AUTO,CONDUCTOR,MOTO,MASCULINO,23
130,2016-0164,1,2016-12-11,6,AVENIDA,4,-58.42323628,-34.64119105,AUTO,CONDUCTOR,AUTO,MASCULINO,29
131,2016-0165,1,2016-12-12,8,AVENIDA,4,-58.36926144,-34.62841919,PASAJEROS,CICLISTA,BICICLETA,MASCULINO,37
132,2016-0168,1,2016-12-13,10,AVENIDA,4,-58.42323628,-34.64119105,AUTO,CONDUCTOR,MOTO,MASCULINO,43
133,2016-0169,1,2016-12-15,15,AVENIDA,12,-58.47935434,-34.55676497,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,24
134,2016-0170,1,2016-12-19,17,GRAL PAZ,12,-58.50598256,-34.5637998,AUTO,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21
135,2016-0171,1,2016-12-25,19,AUTOPISTA,1,-58.36607137,-34.62150748,MOTO,CONDUCTOR,MOTO,SD,0
136,2016-0172,1,2016-12-26,8,AVENIDA,5,-58.41918902,-34.63174259,CARGAS,CONDUCTOR,MOTO,MASCULINO,38
137,2016-0173,1,2016-12-26,19,AVENIDA,7,-58.46749188,-34.63551751,CARGAS,CONDUCTOR,MOTO,MASCULINO,35
138,2016-0175,1,2016-12-27,8,CALLE,7,-58.46064174,-34.62960517,BICICLETA,PEATON,PEATON,FEMENINO,0
139,2016-0176,1,2016-12-28,1,AVENIDA,1,-58.36956186,-34.61232875,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,28
140,2016-0177,1,2016-12-29,4,CALLE,14,-58.40966671,-34.58788235,AUTO,PEATON,PEATON,FEMENINO,27
141,2016-0178,1,2016-12-30,16,CALLE,3,-58.40288226,-34.61544091,MULTIPLE,PEATON,PEATON,FEMENINO,7
142,2017-0001,1,2017-01-02,1,AVENIDA,11,-58.4659423,-34.61028571,CARGAS,CONDUCTOR,MOTO,MASCULINO,18
143,2017-0003,1,2017-01-05,3,AVENIDA,4,-58.38957669,-34.64410277,CARGAS,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,33
144,2017-0007,1,2017-01-11,17,CALLE,1,-58.3816166,-34.61529543,MULTIPLE,PEATON,PEATON,MASCULINO,48
145,2017-0008,1,2017-01-16,0,CALLE,14,-58.43917004,-34.58494351,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,29
146,2017-0009,1,2017-01-16,13,AUTOPISTA,5,-58.41595919,-34.62743346,CARGAS,CONDUCTOR,MOTO,MASCULINO,36
147,2017-0010,1,2017-01-16,16,AVENIDA,6,-58.4356488,-34.62828656,AUTO,CONDUCTOR,MOTO,MASCULINO,23
148,2017-0011,1,2017-01-22,2,GRAL PAZ,12,-58.5007381,-34.5497951,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,29
149,2017-0012,1,2017-01-24,14,CALLE,4,-58.40969005,-34.6505529,CARGAS,CONDUCTOR,MOTO,MASCULINO,30
150,2017-0013,1,2017-01-27,7,AVENIDA,4,-58.38972622,-34.65098981,CARGAS,PEATON,PEATON,MASCULINO,4
151,2017-0014,1,2017-01-28,8,AVENIDA,12,-58.49185972,-34.55046754,MULTIPLE,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22
152,2017-0015,1,2017-02-02,15,AVENIDA,2,-58.39293417,-34.59963642,AUTO,PEATON,PEATON,MASCULINO,82
153,2017-0016,1,2017-02-03,5,AUTOPISTA,1,-58.38099494,-34.62288231,CARGAS,CONDUCTOR,MOTO,MASCULINO,27
154,2017-0017,1,2017-02-06,8,AVENIDA,14,-58.429012,-34.58095431,AUTO,CONDUCTOR,MOTO,MASCULINO,32
155,2017-0018,1,2017-02-09,7,GRAL PAZ,9,-58.50877521,-34.66977709,AUTO,CONDUCTOR,MOTO,MASCULINO,30
